;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski
0;frozenset({'TRAAALR03ALB2'});frozenset({'TRAALR6ALB2'});0.2102284011916584;0.3220456802383317;0.16971201588877854;0.8072744449692961;2.506707881850389;1.0;0.10200886742159401;3.5177188601359104;0.7610686304567126;0.4680909339906874;0.715724866096501;0.667127817612616
1;frozenset({'TRAALR6ALB2'});frozenset({'TRAAALR03ALB2'});0.3220456802383317;0.2102284011916584;0.16971201588877854;0.5269811902559358;2.506707881850389;1.0;0.10200886742159401;1.669641000609812;0.8865942314372689;0.4680909339906874;0.4010688527445333;0.667127817612616
2;frozenset({'TRAAR6EHDB2'});frozenset({'TRAAAR03EHDB2'});0.17487586891757695;0.12939424031777558;0.10883813306852036;0.6223736513344691;4.809902278540371;1.0;0.08621020286001958;2.3054687861660113;0.9599714011629285;0.5569105691056911;0.5662487360486032;0.7317547458514249
3;frozenset({'TRAAAR03EHDB2'});frozenset({'TRAAR6EHDB2'});0.12939424031777558;0.17487586891757695;0.10883813306852036;0.8411358403683806;4.809902278540371;1.0;0.08621020286001958;5.193897308214479;0.9098211899467061;0.5569105691056911;0.8074663512467918;0.7317547458514249
4;frozenset({'TRAAAR03EHDBLK'});frozenset({'TRAAR6EHDR1'});0.19781529294935452;0.3875868917576961;0.1660377358490566;0.8393574297188755;2.165598082825795;1.0;0.08936712131267818;3.8122715988083415;0.670959934893165;0.39592706606677713;0.7376892033839916;0.6338729244418103
5;frozenset({'TRAAR6EHDB2'});frozenset({'TRAALR6ALB2'});0.17487586891757695;0.3220456802383317;0.1031777557100298;0.5900056785917093;1.8320558690775555;1.0;0.0468597375471994;1.6535700236846231;0.550420355445601;0.26204287515762925;0.3952478663275981;0.4551940203010967
