;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski
0;frozenset({'TRAAALR03ALB2'});frozenset({'TRAALR6ALB2'});0.08232915221358234;0.099344062864752;0.05171875256867613;0.6281948881789138;6.323426584980167;1.0;0.043539840095568265;2.422387182155383;0.9173854608124212;0.3979759645793802;0.5871840771918947;0.5743986190025796
1;frozenset({'TRAALR6ALB2'});frozenset({'TRAAALR03ALB2'});0.099344062864752;0.08232915221358234;0.05171875256867613;0.5206023498262453;6.323426584980167;1.0;0.043539840095568265;1.9142164077229282;0.9347164203995577;0.3979759645793802;0.47759302659537944;0.5743986190025796
2;frozenset({'TRAAAR03EHDBLK'});frozenset({'TRAAR6EHDR1'});0.24618191980798632;0.3510167847572704;0.13033257163523976;0.5294156928213689;1.5082346936413942;1.0;0.04391858567886822;1.3791008440839896;0.4470219325083776;0.27916475932251134;0.2748898644433733;0.4503579026115087
