;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski
0;frozenset({'TRAAALR03ALB2'});frozenset({'TRAALR6ALB2'});0.1559633027522936;0.6146788990825688;0.13761467889908258;0.8823529411764706;1.4354697102721685;1.0;0.04174732766602138;3.2752293577981644;0.3594202898550724;0.2173913043478261;0.6946778711484594;0.553116769095698
1;frozenset({'TRAAAR03EHDBLK'});frozenset({'TRAAR6EHDR1'});0.11009174311926606;0.13761467889908258;0.10091743119266056;0.9166666666666666;6.6611111111111105;1.0;0.08576719131386247;10.348623853211004;0.9550140581068416;0.6875;0.9033687943262412;0.825
2;frozenset({'TRAAR6EHDR1'});frozenset({'TRAAAR03EHDBLK'});0.13761467889908258;0.11009174311926606;0.10091743119266056;0.7333333333333333;6.6611111111111105;1.0;0.08576719131386247;3.3371559633027514;0.9854932301740813;0.6875;0.7003436426116838;0.825
