cliente;frecuencia;recencia;ticket_promedio;ticket;referencias_unicas;margen_promeido;margen;avg_descuento;cl_value;linea_favorita;marca_favorita
3661187;19;29;1970309.5726181818;43346810.5976;8;1005210.9274272728;22114640.4034;0.0013636363636363635;37435881.87974545;ALKALINAS;TRONEX
811047163;17;24;1884812.1814294118;32041807.0843;3;1245359.5363;21171112.1171;0.003529411764705882;32041807.0843;OTROS;MTEK
901295332;31;2;1355991.5302881356;80003500.287;12;882334.4325915254;52057731.5229;0.12050847457627117;42035737.4389322;ALKALINAS;TRONEX
1077426273;14;12;1747909.0588235294;59428908.0;5;842616.9993911765;28648977.9793;0.12;24470726.82352941;MANGANESO;TRONEX
1128724582;28;3;7165034.540546155;279436347.0813;8;4761734.105935898;185707630.1315;0.1394871794871795;200620967.13529232;ALKALINAS;TRONEX
