;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski
0;frozenset({'TRAAALR03ALB2'});frozenset({'TRAALR6ALB2'});0.24869489559164734;0.31065628107391446;0.17799138216771626;0.7157017909204497;2.303838146926644;1.0;0.10073275078114965;2.4247205818071067;0.753278164702212;0.4667282307566951;0.5875813454535386;0.6443272891652129
1;frozenset({'TRAALR6ALB2'});frozenset({'TRAAALR03ALB2'});0.31065628107391446;0.24869489559164734;0.17799138216771626;0.572952787409976;2.303838146926644;1.0;0.10073275078114965;1.7593022088862675;0.8209862723661232;0.4667282307566951;0.4315928241612033;0.6443272891652129
2;frozenset({'TRAAR6EHDR1'});frozenset({'TRAAAR03EHDBLK'});0.32432880344713294;0.22466440172356647;0.16790271793172026;0.5176928972917731;2.3042942865899927;1.0;0.09503758134354996;1.6075558371892258;0.8377264796407587;0.440584909762992;0.37793762626094723;0.6325209530257851
3;frozenset({'TRAAAR03EHDBLK'});frozenset({'TRAAR6EHDR1'});0.22466440172356647;0.32432880344713294;0.16790271793172026;0.7473490087597972;2.3042942865899927;1.0;0.09503758134354996;2.6743263235824246;0.7300421316152239;0.440584909762992;0.6260740541713554;0.6325209530257851
